skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Housekeeping,,,"This is the ability to manage a household. It covers both home economics and domestic chores: cleaning, cooking (but not haute cuisine, which requires the Cooking skill), minor repairs (any routine maintenance task that calls for a roll against Carpentry, Sewing, or a similar skill at +4 or better), etc. The main use of Housekeeping is to qualify for the job of “homemaker,” but it can come in handy on adventures – for instance, to clean up evidence!",IQ-4,Easy,Intelligence,
Hypnotism,,,"This is the skill of inducing a suggestible state in another person through verbal or mechanical means. It requires five seconds and a successful skill roll to use. If you fail on a cooperative subject, you may try again. The second attempt takes five minutes, and the roll is at -5. If this attempt fails, you may not try to hypnotize the subject again that day. 

A successful Hypnotism attempt puts the subject to sleep. This counts as an anesthetic for the purpose of Surgery. At the GM’s option, further Hypnotism rolls might help the subject remember something he had forgotten, while Psychology rolls might help him get over mental problems. 

A hypnotized individual is extremely suggestible. Roll a Quick Contest of Hypnotism vs. the victim’s Will for each suggestion. The subject resists suggestions that threaten his life or his loved ones, or that go strongly against his character, at +5. You may also give “posthypnotic suggestions,” instructing the subject to do something in response to a trigger after the hypnosis ends. The subject’s resistance roll for such suggestions takes place when he encounters the trigger. He resists at +1 to Will per week since he was hypnotized. 

You cannot use Hypnotism as an attack, except in highly cinematic games. You can use it on an unaware or unwilling subject out of combat, but he resists at Will+5. If he resists the initial attempt, he is considered uncooperative, and you may not make a second attempt that day. A subject who is unfamiliar with Hypnotism might not know what you attempted, but he suspects something – possibly witchcraft! 

In all cases, a hypnotic trance lasts 1d hours unless you end it sooner. ",None.,Hard,Intelligence,"+2 if you send hypnotic suggestions via Telesend (see Telecommunication, p. 91), since voices in the head are harder to ignore."
Immovable Stance,,,"This skill allows you to anchor yourself to the ground by properly channeling your chi, using secret balancing techniques, etc. Make a skill roll whenever an attack (e.g., a shove or the Push skill, p. 216) would result in knockback or a fall. 

On a success, you neither experience knockback nor fall down. On a failure, you are knocked back but still get the usual DX roll to avoid falling down. On a critical failure, you automatically suffer full knockback and you fall down. 

This skill also helps against attacks with the Judo skill (p. 203). If you fail your active defense (or choose not to defend) against a Judo throw, your attacker must win a Quick Contest of Judo vs. your Immovable Stance skill, or his throw fails. ",None. Prerequisite: Trained By A Master,Hard,Dexterity,-1 per yard of potential knockback; +4 for Perfect Balance (p. 74).
Innate Attack,,TRUE,"This skill represents trained ability with a “built-in” ranged attack: fiery breath, super-powered energy bolts, etc. Learn it to improve your odds of hitting with Afflictions (p. 35), Bindings (p. 40), Innate Attacks (p. 61), magical jets and missiles, and similar attacks that originate from you as opposed to a weapon in your hand. Roll against skill to hit. 

You must specialize: 

Beam: Any energy blast, magical jet, etc. emitted from the hands. To use this skill, you must have at least one unrestrained hand (although it need not be empty). 

Breath: Any attack emitted from the mouth, such as dragon’s fire or acidic sputum. To use this skill, you cannot be gagged and you must be facing your target. 

Gaze: Any attack emitted from the eyes – heat vision, a petrifying stare, etc. To use this skill, you cannot be blindfolded and you must be facing your target. 

Projectile: Any solid projectile or pseudo-solid energy bolt (e.g., Fireball spell) emitted from the hands. To use this skill, you must have at least one unrestrained hand (although it need not be empty). 

These specialties default to one another at -2. 

You use this skill to direct your attack, not to activate it; therefore, restrictions such as “you cannot be gagged” apply strictly to your ability to make ranged attacks. If you can trigger your attack while restrained, no skill roll is needed to attack your restraints! 

You can only learn this skill for ranged attacks. Use Brawling (p. 182) to improve your odds with abilities that require a touch.",DX-4,Easy,Dexterity,
Intelligence Analysis,TRUE,,"This is the ability to analyze and interpret intelligence data. It allows you to deduce enemy plans and capabilities, evaluate the accuracy of information, rate the reliability of sources, etc. In most game worlds, only intelligence, military, and security services teach this skill – often only to those with a minimum level of Rank or Security Clearance. 

The GM makes all Intelligence Analysis rolls in secret. On a success, he provides details about the significance and accuracy of your data, or insights into what it means in terms of enemy planning. When you encounter deliberately falsified data, the GM rolls a secret Quick Contest: your Intelligence Analysis vs. the enemy’s skill at disinformation (Forgery, Propaganda, etc.). If you win, the GM provides details on precisely what is wrong with the information. It is up to you to deduce what this means, however! 

This skill has nothing to do with gathering intelligence. Use Current Affairs (p.186) and Research (p. 217) to sift through public sources; Forensics (p. 196) and Search (p. 219) to find physical clues; Observation (p. 211) for human surveillance; and Electronics Operation (p. 189) to work with the satellite imagery, communications intercepts, and related “technical means” common at TL7+.

You may take an optional specialty (p. 169) in one particular type of intelligence. A useful specialty at TL6+ is Intelligence Analysis (Traffic Analysis): identifying the purpose and organization of targets by examining intercepted communications traffic. ",IQ-6 or Strategy(any)-6,Hard,Intelligence,"-1 to -5 for incomplete information; -3 if all your information comes from a single source; -3 for intelligence concerning an arcane scientific or bureaucratic principle, unless you have skill in that area (e.g., Engineer (Electronics) for intelligence regarding a radar installation)."
Interrogation,,,"This is the ability to question a prisoner. Only intelligence agencies, police and prison services, the military, and the underworld teach this skill. 

Roll a Quick Contest of Interrogation vs. the prisoner’s Will for each question. This requires 5 minutes per question. If you win, you get a truthful answer. If you tie or lose, the victim remains silent or lies. If you lose by more than five points, he tells you a good, believable lie! The GM roleplays the prisoner (or, if you are the prisoner, the GM will roleplay the interrogator) and makes all die rolls in secret. ","IQ-5, Intimidation-3, or Psychology-4.",Average,Intelligence,"-5 if the prisoner’s loyalty to his leader or cause is “Very Good” or “Excellent”; -3 for Low Empathy (p. 142); +2 for a lengthy interrogation (over two hours); +3 if you use severe threats; +6 if you use torture*. Increase these last two bonuses by +1 if you have the Callous disadvantage (p. 125)! 

* “Torture” does not necessarily mean thumbscrews and the rack. Exposing a prisoner to the object of his phobia (see Phobias, p. 148) is an effective torture, as is a believable threat against a loved one. Note that torturing a prisoner is usually considered vile behavior, likely bringing retribution."
Intimidation,,,"This is the skill of hostile persuasion. The essence of Intimidation is to convince the subject that you are able and willing, perhaps even eager, to do something awful to him. 

You can substitute an Intimidation attempt for any reaction roll; see Influence Rolls (p. 359). Exception: You cannot intimidate someone who has the Unfazeable advantage! 

The results of a successful Intimidation attempt depend on the target. An honest citizen probably cooperates, sullenly or with false cheer. A low-life might lick your boots (even becoming genuinely loyal). A really tough sort might react well without being frightened: “You’re my kind of scum!” The GM decides, and roleplays it. If you rolled a critical success – or if the subject critically failed his Will roll – your victim must make a Fright Check in addition to the other results of the Influence roll! 

Group Intimidation: You may attempt to intimidate up to 25 people at once, at -1 to skill per five people (or fraction thereof) in the group. Multiple intimidators can attempt to intimidate proportionally larger groups; for instance, three thugs could try to intimidate up to 75 people! Base the skill penalty on the size of the target group divided by the number of intimidators (round up). Resolve the outcome with a single Quick Contest: the highest effective Intimidation skill from among the intimidators vs. the highest modified Will in the target group. 

Specious Intimidation: You can attempt a Quick Contest of Fast-Talk vs. the subject’s IQ before your Intimidation attempt in order to appear to be intimidating when you can’t back it up. If you win, you are at +3 on the subsequent Intimidation attempt, which can go a long way toward offsetting the high Will and Fearlessness of martial arts masters, world leaders, etc. If you tie or lose, however, your Intimidation attempt fails automatically, and you suffer a “Very Bad” reaction instead of just a “Bad” one! ",Will-5 or Acting-3.,Average,Willpower,"+1 to +4 for displays of strength, bloodthirstiness, or supernatural powers (GM’s judgment); increase this bonus by +1 if you are Callous (p. 125). Appearance (p. 21) matters: +2 if you are Hideous, +3 if Monstrous, or +4 if Horrific. Size also matters: add your Size Modifier and subtract the subject’s. Appropriate Reputation modifiers (positive or negative) certainly count! You get -1 for Oblivious (p. 146) and -1 to -4 for Shyness (p. 154). Subtract the subject’s Fearlessness (p. 55) from your roll. The GM may assign a +1 or -1 for especially appropriate or clumsy dialog. Requests for aid are always at -3 or worse."
Invisibility Art,,,"This is the fabled skill, often attributed to ninja and other martial-arts masters, of being able to stand in plain sight without being noticed. It requires one second of concentration to activate. After that time, roll a Quick Contest once per second: your Invisibility Art vs. the Vision roll of each person who can see you. 

Viewers must apply the current darkness penalty to their Vision roll. A viewer who is concentrating on something else or otherwise distracted is at -3; one who is specifically looking for intruders gets +3. If someone sees you and raises the alarm, by pointing and crying out, those who believe the warning get +3 on their next roll. 

If you win, that person is unable to see you for one second. Otherwise, he can see you normally. Once someone notices you, he is unaffected by this skill until you can get out of sight somehow (which might be as easy as stepping into a shadow), whereupon you may try again. 

Note that this skill does not work at all in combat. In particular, if you attack anyone, you will immediately become visible to everyone! ","None. Prerequisites: Trained By A Master, and both Hypnotism and Stealth at 14+.",Very Hard,Intelligence,"+3 if you use a smoke bomb or flash grenade before you attempt your roll (you appear to vanish in a cloud of smoke). Your movement modifies your skill roll rather than viewers’ Vision rolls: no modifier if you stand still (Move 0), -1 if you move at a slow walk (Move 1), -2 at a fast walk (Move 2), or -5 at a run (Move 3+). If you stand perfectly still (requires a successful Breath Control or Meditation roll), you get +1."
Jewler,TRUE,,"This is the ability to work with precious metals, make jewelry, decorate weapons, etc. A successful skill roll allows you to identify a precious metal or gem, or determine the value of a precious bauble.","IQ-6, Smith (Copper)-4, or Smith (Lead and Tin)-4. ",Hard,Intelligence,
Jitte/Sai,,,"Any tined, one-handed sword designed to catch rigid weapons. Jitte/Sai weapons are built for disarming, and give +2 in the Quick Contest to disarm an opponent (see Knocking a Weapon Away, p. 401). 

Furthermore, if you attempt to disarm on the turn immediately after you parry your opponent’s weapon, you need not roll to hit his weapon first. Just state that you are attempting to disarm and move directly to the Quick Contest! This still counts as an attack. ","DX-4, Force Sword-4, MainGauche-4, or Shortsword-3.",Average,Dexterity,
Judo,,,"This skill represents any advanced training at unarmed throws and grapples – not just the eponymous Japanese martial art. 

Judo allows you to parry two different attacks per turn, one with each hand. Your Parry score is (skill/2) + 3, rounded down. This parry is not at the usual -3 for parrying a weapon barehanded, greatly reducing the likelihood of injury when you defend against an armed foe. In addition, Judo gives an improved retreating bonus when you parry; see Retreat (p. 377). For complete rules for parrying barehanded, see Parrying Unarmed (p. 376). 

On the turn immediately after a successful Judo parry, you may attempt to throw your attacker if he is within one yard. This counts as an attack; roll vs. Judo skill to hit. (Note that in an All-Out Attack, you cannot attempt two throws, but you can make one attempt at +4.) Your foe may use any active defense – he can parry your hand with a weapon! If his defense fails, you throw him. 

When you throw a foe, he falls where you please. On a battle map, he lands in any two hexes near you. One of these hexes must be his starting hex, your hex, or any hex adjacent to one of those hexes. Your victim must roll against HT; a failed roll means he is stunned! If you throw him into someone else, that person must roll against the higher of ST+3 or DX+3 to avoid being knocked down. 

Finally, you may use your Judo skill instead of your DX for any DX roll made in close combat except to draw a weapon or drop a shield. If you grapple a foe using Judo, and he fails to break free, you may make a Judo attack to throw him on your next turn, exactly as if you had parried his attack. 

To use Judo, any hand with which you wish to parry or grapple must be empty. Because Judo relies heavily on footwork, all Judo rolls and Judo parries take a penalty equal to your encumbrance level. For instance, Heavy encumbrance would give you -3 to hit or to parry an enemy attack.",None.,Hard,Dexterity,
Jumping,,,"This skill represents trained jumping ability. When you attempt a difficult jump, roll against the higher of Jumping or DX. In addition, you may use half your Jumping skill (round down) instead of Basic Move when calculating jumping distance. For instance, Jumping-14 would let you jump if you had Basic Move 7. See Jumping (p. 352).",None.,Easy,Dexterity,
Karate,,,"This skill represents any advanced training at unarmed striking, not just the Okinawan martial art of karate. Roll against Karate to hit with a punch (at no -4 for the “off” hand), or Karate-2 to hit with a kick. You cannot use Karate to attack with claws, teeth, etc., or with a blackjack – use Brawling (p. 182) for that. Karate skill does let you make several special attacks, however; see Special Unarmed Combat Techniques (p. 403). 

Karate improves damage: if you know Karate at DX level, add +1 per die to basic thrust damage when you calculate damage with Karate attacks: punches, kicks, elbow strikes, etc. Add +2 per die if you know Karate at DX+1 or better! Work out damage ahead of time and record it on your character sheet. 

Karate allows you to parry two different attacks per turn, one with each hand. Your Parry score is (skill/2) + 3, rounded down. This parry is not at the usual -3 for parrying a weapon barehanded, greatly reducing the likelihood of injury when you defend against an armed foe. In addition, Karate gives an improved retreating bonus when you parry; see Retreat (p. 377). For more on parrying barehanded, see Parrying Unarmed (p. 376). 

To use Karate, any hand with which you wish to strike or parry must be empty (but you are free to wear heavy gauntlets, brass knuckles, etc. to increase damage). Because Karate relies heavily on footwork, all Karate attacks and parries take a penalty equal to your encumbrance level. For instance, Heavy encumbrance would give you -3 to hit or to parry an enemy attack.",None.,Hard,Dexterity,
Kiai,,,"You can channel your chi outward in a mighty shout (kiai) that freezes lesser foes. This counts as an attack, and costs 1 FP per attempt, successful or not. 

Roll a Quick Contest: your Kiai skill vs. your target’s Will. You are at -1 for every full two yards of distance. Your victim resists at +1 if he is Hard of Hearing, at +2 if Deaf! If you win, your target is mentally stunned (see Effects of Stun, p. 420). 

This skill only works against a single victim; everyone can hear the shout, but your chi is focused on that one foe. However, a successful Kiai roll gives you +2 to Intimidation rolls vs. everyone within earshot.",None. Prerequisites: Trained By A Master or Weapon Master.,Hard,Health,
Knife,,,"Any rigid, hilted blade less than one foot long, from a pocketknife to a bowie knife. A knife 208 SKILLS has a very small parrying surface, which gives you -1 to your Parry score.","Force Sword-3, MainGauche-3, or Shortsword-3.",Easy,Dexterity,
Knot-Tying,,,"This is the ability to tie a wide variety of knots quickly and efficiently. A successful skill roll lets you make a noose, tie someone up, etc. If you bind someone using this skill, he must win a Quick Contest of Escape vs. your Knot-Tying skill to free himself. ","DX-4, Climbing-4, or Seamanship-4. ",Easy,Dexterity,"+1 per level of High Manual Dexterity (p. 59), or -3 per level of Ham-Fisted (p. 138)."
Kusari,,,"A weighted chain wielded in two hands. 

A whip is a flexible weapon made from a length of chain, leather, wire, etc. A whip can be up to seven yards long – but note that a whip two yards or more in length cannot strike at one yard or closer, and is slow to ready after an attack. A whip tends to wind around its target, making it an excellent disarming and entangling weapon. However, a whip’s lack of rigidity makes it a poor parrying weapon. For details, see Special Melee Weapon Rules (p. 404). ","Two-Handed Flail-4, Force Whip-3, Monowire Whip-3, Whip-3.",Hard,Dexterity,
Lance,,,"The ability to use the lance: a long, spear-like weapon wielded from horseback. This is not a Melee Weapon skill (see p. 208). You may not use a lance to parry – you must block or dodge enemy attacks.",DX-5 or Spear-3. Prerequisite: Riding. ,Average,Dexterity,
Lasso,,,"This is the skill of throwing the lariat: a long rope or thong with a sliding noose at one end. Its intended purpose is to snare animals, but it can also entangle opponents in combat – see Special Ranged Weapons (p. 410).",None.,Average,Dexterity,
Law,,TRUE,"This skill represents knowledge of law codes and jurisprudence. A successful roll lets you remember, deduce, or figure out the answer to a question about the law. Few legal questions have clear-cut answers, however – even an expert will hedge his advice! 

You must specialize. There are two general classes of specialty: 

• The laws of a particular political region (e.g., Canada or France) within a specific field (constitutional, contract, criminal, police, etc.). Examples: Law (British Criminal), Law (Canadian Constitutional), and Law (U.S. Contract). 

• A specialized body of law not associated with a political region. Examples: Law (Catholic Canon), Law (International), and Law (Space). 

Specialties within the same region, such as Law (British Criminal) and Law (British Police), or field, such as Law (British Criminal) and Law (French Criminal), default to one another at -4. If both region and field differ, the default is -6 or worse. 

In some times and places, a Quick Contest of Law (Criminal) between the defense and prosecution will determine the outcome of a trial. In others, Law functions as an Influence skill (see Influence Rolls, p. 359) used to sway the rulings of the judge. 

Law enforcers nearly always have a point or two in Law (Police) for their region. This represents knowledge of “proper procedure” when it comes to arrests, evidence handling, interrogation, etc.",IQ-6,Hard,Intelligence,
Leadership,,,"This is the ability to coordinate a group. Make a Leadership roll to lead NPCs into a dangerous or stressful situation. (PCs can decide for themselves if they want to follow you!) 

You may attempt a Leadership roll in combat if you spend your turn doing nothing but giving orders and encouragement. On a success, everyone on your side who can hear you (including PCs) has +1 on all combat-related Fright Checks and morale checks, and on self-control rolls for disadvantages that would reduce combat efficiency (such as Berserk and Cowardice – or Bloodlust, if you wish to take prisoners). A critical success gives +2. The bonus lasts until your next turn, at which time you may roll again. A group can have only one leader, however! If multiple people attempt Leadership rolls, no one gets a bonus. 

Note that a minimum level of Leadership is often a prerequisite for high Rank (p. 29). ",IQ-5,Average,Intelligence,"Any bonus for Charisma (p. 41); -3 for Low Empathy (p. 142); -1 to -4 for Shyness (p. 154). -5 if the NPCs have never been in action with you; -5 if you are sending them into danger but not going yourself; +5 if their loyalty to you is “Good”; +10 if their loyalty is “Very Good.” If their loyalty is “Excellent,” you do not have to roll!"
Leatherworking,,,"This is the ability to work with leather to make belts, saddles, armor, etc. A successful skill roll lets you repair or create leather goods. Make an IQ-based roll to design items that are more artistic than functional. ",DX-4,Easy,Dexterity,"Equipment modifiers (p. 345); +1 per level of High Manual Dexterity (p. 59), or -3 per level of Ham-Fisted (p. 138)."
Lifting,,,"This is the trained ability to use your strength to its best advantage when you lift. Roll once per lift. On a success, increase your Basic Lift by 5% per point by which you made your roll. This has no effect on encumbrance, or on how much you can carry. See Lifting and Moving Things (p. 353).",None.,Average,Health,
Light Walk,,,"This skill allows you to exert very little pressure when you walk. On a successful Light Walk roll, you leave no visible tracks. Tracking rolls to follow you automatically fail unless they rely on something more than sight; thus, a human tracker would be baffled, but bloodhounds would suffer no penalty at all. 

You can also attempt to walk over fragile surfaces without falling through. Maximum Move under such circumstances is 1/3 normal (GM’s decision). Thin ice would require an unmodified Light Walk roll, while rice paper would require a roll at -8! 

Finally, a successful Light Walk roll can give a bonus to Stealth when your intention is to move quietly. This bonus equals half your margin of success, rounded down. Minimum bonus is +1.","None. Prerequisites: Trained By A Master, and both Acrobatics and Stealth at 14+.",Hard,Dexterity,
Linguistics,,,"This is the study of the principles upon which languages are based. A successful skill roll lets you identify a language from a snatch of speech or writing. As well, make a skill roll once per month when learning a language without a teacher. On a success, you learn at full speed rather than at 1/4 speed (see Learning Languages, p. 25).",None.,Hard,Intelligence,
Lip Reading,,,"This is the ability to see what others are saying. You must be within seven yards, or have some means of bringing your point of view this close. A successful skill roll lets you make out one sentence of a discussion – assuming, of course, that you know the language. If your subjects suspect that you can read lips, they can hide their mouths or subvocalize to thwart you. A critical failure on a Lip Reading roll – if you are where your victims could see you – means that you stared so much you were noticed! ",Perception-10,Average,Perception,"All Vision modifiers (see Vision, p. 358)."
Liquid Projector,TRUE,TRUE,"This is the ability to use a weapon that projects a stream of liquid or gas. Roll against Liquid Projector skill to hit your target. 

Make an IQ-based Liquid Projector roll to take immediate action (e.g., patch a leak), should your weapon fail. 

You must specialize by weapon type: 

Flamethrower: Any weapon that projects burning liquid or gas. (This does not include plasma weapons, which are often called “flamers”; use Beam Weapons skill for those.) 

Sprayer: Any weapon that emits a gas or atomized liquid (nerve gas, sleeping gas, etc.), including an ordinary spray can used as an improvised weapon. 

Squirt Gun: Any weapon that fires a low-pressure stream of liquid at the rate of one squirt per pull of the trigger. 

Water Cannon: Any weapon that fires a continuous jet of high-pressure liquid, usually but not always water, with the intent of causing knockback. 

These specialties default to one another at -4. The weapons covered by each specialty vary by TL; e.g., Liquid Projector (Flamethrower) covers fire-siphons loaded with Greek fire at TL4, while at TL6, it covers backpack tanks that project thickened fuel. ",DX-4,Easy,Dexterity,"All applicable ranged combat modifiers; -2 for heavy weapons when you are used to portable weapons (e.g., a flamethrower mounted on a tank when you are used to a backpack model), or for an unfamiliar weapon of a known type; -4 or more for a weapon in bad repair."
Literature,,,"This is the study of the great writings. A student of literature would be knowledgeable in the realms of old poetry, dusty tomes, criticism, etc. This can be useful for finding clues to hidden treasure, sunken lands, Ancient Secrets, and the like. The work in question must be available in a language you read. ",IQ-6,Hard,Intelligence,"-5 if you’re illiterate (see Literacy, p. 24) and relying on oral tradition, save in pre-literate cultures, where this is the norm."
Lockpicking,TRUE,,"This is the ability to open locks without the key or combination. Each attempt requires one minute. If you make the roll and open the lock, each point by which you succeeded shaves five seconds off the required time. (Safecracking and similar challenges can take more time, at the GM’s discretion.) 

Note that if the lock has a trap or alarm attached, you must make a separate Traps roll to circumvent it.",IQ-5,Average,Intelligence,"Equipment modifiers (p. 345); -5 if working by touch (e.g., in total darkness). Inside information gives a bonus at GM’s discretion. If the GM requires a DX-based roll (for instance, to work with a particularly delicate mechanism), modifiers for High Manual Dexterity (p. 59) or Ham-Fisted (p. 138) will apply."
Machinist,TRUE,,"This is the skill of making and modifying mechanical parts and tools. A successful skill roll lets you build parts from raw materials, manufacture tools for use with another skill (such as Armoury or Lockpicking), or modify any simple mechanical device not explicitly covered by another skill. The GM may require an inventor to make one or more Machinist rolls before attempting an Engineer roll to assemble a gadget. 

Materials and component size vary significantly with tech level. A TL5 machinist works mainly with brass and steel components that can be seen with the naked eye; a TL10 machinist might work with carbon nanotubes. ",IQ-5 or Mechanic(any)-5.,Average,Intelligence,Equipment modifiers (p. 345).
Main-Gauche,,,"Any weapon normally wielded with Knife or Jitte/Sai skill (see below), used in the “off” hand. With this skill, you may ignore the penalty for using the “off” hand on defense (attacks are still at -4) and the -1 for parrying with a knife. To wield a knife as a primary weapon, use Knife skill. 

Fencing weapons are light, onehanded weapons, usually hilted blades, optimized for parrying. If you have a fencing weapon, you get an improved retreating bonus when you parry – see Retreat (p. 377). Furthermore, you have half the usual penalty for parrying more than once with the same hand (see Parrying, p. 376). 

Note that fencing weapons are light and likely to break when used to parry a heavier weapon. They cannot parry flail weapons at all! You must be relatively mobile to capitalize on their speed and maneuverability: all attacks and parries take a penalty equal to your encumbrance level (e.g., Heavy encumbrance gives -3 to hit or to parry). ","DX-4, Jitte/Sai-4 or Knife-4, Rapier-3, Saber-3, Smallsword-3.",Average,Dexterity,
Makeup,TRUE,,"This is the skill of using theatrical makeup to enhance a performer’s appearance. It is not just the ability to make someone look “pretty” – you can make yourself or others look older, younger, or of a different race or nationality. At TL6+, you can use prosthetics to further enhance the effect. However, you cannot make someone look taller or shorter than he actually is.",IQ-4 or Disguise-2. ,Easy,Intelligence,
Market Analysis,,,"This is the skill of predicting the short-term behavior of bond, stock, and currency markets – usually in order to make money! It is the main job skill of professional traders and speculators. Make a skill roll to determine current market trends. On a critical success, you also learn whether a trend will continue or reverse in the future. On a failure, you get no clear answer. On a critical failure, you guess wrong.","IQ-6, Economics-5, or Merchant-4. ",Hard,Intelligence,The Talents (p. 89) of Business Acumen and Mathematical Ability both provide a bonus.
Masonry,,,This is the ability to build things out of brick or stone. ,IQ-4,Easy,Intelligence,"Equipment modifiers (p. 345); -3 for simple engineering (erecting scaffolding, moving large blocks of stone, etc.) rather than masonry per se."
Mathematics,TRUE,TRUE,"This is the scientific study of quantities and magnitudes, and their relationships and attributes, through the use of numbers and symbols. You must specialize: 

Applied: The branch of mathematics that interacts directly with the physical sciences and engineering, dealing with mathematical models of the behavior of physical systems. Defaults: Engineer (any)-5 or Physics-5. 

Computer Science: The theoretical study of data structures and computation. Roll vs. skill to answer questions about what is possible with computers. This gives you no special ability to use computers! Default: Computer Programming-5. 

Cryptology: The mathematical study of codes and ciphers. This gives you a theoretical understanding of encryption schemes, including how they change with TL and why some schemes are more effective than others. To create or break codes, use Cryptography skill (p. 186). Default: Cryptography-5. 

Pure: Generic “academic” mathematics. Make a skill roll to answer any math-related question not covered by another specialty. Pure mathematics encompasses dozens of obscure subfields that will never affect the game. If you must be an expert in something like “non-self-adjoint operator algebras,” you may further note an optional specialty (p. 169). 

Statistics: The science of assembling and analyzing data for the purpose of calculating probabilities, constructing models, and making forecasts. Roll vs. skill to determine the odds of a particular outcome, given sufficient data about similar situations in the past. 

Surveying: The science of determining the area of a portion of the Earth’s surface, the lengths and directions of the bounding lines, and the contour of the surface. Make a skill roll to determine the dimensions of any area you can see. More complex determinations require specialized equipment. Defaults: Cartography-3 or Navigation (any)-4. 

These specialties default to one another at -5.",IQ-6 and others.,Hard,Intelligence,
Mechanic,TRUE,TRUE,"This is the ability to diagnose and fix ordinary mechanical problems. A successful skill roll will let you find or repair one problem. 

You must pick a specialty from within one of these four categories: 

Machine Type: Any one class of nonvehicular machine. Types include Micromachines (miniature machinery, invisible to the naked eye; TL9+), Nanomachines (molecular-scale machinery; TL10+), and Robotics (robots and automated factories; TL7+). 

Motive System Type: Any one type of propulsion system, regardless of vehicle type. Types include Legged, Tracked, Wheeled, Rockets, and Reactionless Thrusters. 

Power Plant Type: Any one type of power plant, no matter what it powers. Types include Clockwork, Steam Engine, Gasoline Engine, Diesel Engine, Gas Turbine, Fuel Cell, Fission Reactor, Fusion Reactor, and Antimatter Reactor. 

Vehicle Type: The controls, hull, motive system, power plant, transmission, and even the paint job of one specific type of vehicle listed under a vehicle-operation skill such as Driving (p. 188), Piloting (p. 214), or Submarine (p. 223). 

Mechanic specialties default to one another at -4, although the GM may modify this for particularly close or distant specialties. The systems covered by each specialty vary by TL. For instance, Mechanic (Light Airplane) covers single-engine biplanes at early TL6, small private jets at TL7, and so forth. 

Familiarity is very important here. For instance, Mechanic/TL7 (Light Airplane) covers both propeller-powered seaplanes and small private jets, but going from one to the other gives you -2 for an unfamiliar item (prop-powered plane to jet) and -2 for an unfamiliar implementation (seaplane to regular plane), for a net -4 to skill until you familiarize yourself with all the differences. ","IQ-5, Engineer (same)-4, or Machinist-5. ",Average,Intelligence,"-2 for an unfamiliar item within your specialty (e.g., a barge when you’re used to battleships), or for an unfamiliar implementation (e.g., a powerboat engine when you’re used to automobile engines); equipment modifiers (p. 345)."
Meditation,,,"This is the ability to calm the emotions, control the mind, and relax the body. To use this skill, you must concentrate for (20 - skill) seconds, minimum one second, and then roll vs. skill. On a success, you enter a trancelike state, which you can maintain for hours. 

A meditative trance is required for certain rituals and is a common preparation for prayer. In addition, the GM may permit you to meditate on a particular moral dilemma. On a successful Meditation roll, the GM will “enlighten” you, providing a hint as to which course of action “feels” right.",Will-6 or Autohypnosis-4. ,Hard,Willpower,
