disadvantage,description,cost,self_control
Lifebane,"You have a supernatural aura of death about you. Grass dies in your footprints and will never grow there again, larger plants wilt instantly in your presence, and insects and other tiny creatures die if they get within a yard of you. Your aura has no effect on animals that weigh more than a few ounces, on very large plants such as trees (but the leaves closest to you might die, and a tree you pass daily for years will eventually be affected), on ordinary life forms controlled by supernatural means (e.g., insect swarms conjured up using magic), or on supernatural entities of any kind.

Lifebane gives -2 on reaction rolls made by anyone in a position to notice it. If it stems from demonic powers, vampirism, etc., observers get +2 on all rolls to deduce your secret! This trait makes it difficult to use stealth or invisibility-related abilities outdoors, too: +2 on rolls to locate you in most outdoor environments. It has its side benefits, however. For instance, you need never buy insect repellent!",-10,
Light Sleeper,"You do not sleep as soundly or as easily as most people. Whenever you must sleep in an uncomfortable place, or whenever there is more than the slightest noise, you must make a HT roll in order to fall asleep. On a failure, you can try again after one hour, but you will suffer all the usual effects of one hour of missed sleep (see Missed Sleep, p. 426).

You usually wake up if there is activity going on around you (but you are stunned unless you have Combat Reflexes). If you wish to continue sleeping, you must fail a Sense roll. If you wake up, you must make HT rolls to get back to asleep, as above. This can occasionally be to your advantage, but the most likely effect is that you miss sleep whenever inconsiderate companions trade watches or return from a night on the town.",-5,
Loner,"You require a great deal of “personal space.” Make a self-control roll whenever anyone lingers nearby, watches over your shoulder, etc. If you fail, you lash out at that person just as if you had Bad Temper (p. 124). Loner NPCs always react to others at a penalty.

Self-Control Number	Reaction Penalty
6	-4
9	-3
12	-2
15	-1",-5,TRUE
Low Empathy,"You cannot understand emotions at all. This doesn’t prevent you from having and showing emotions of your own (unless you have something like No Sense of Humor) – your problem is that you don’t really understand them. As a result, you have difficulty interacting socially.

You may not take the Empathy advantage, and suffer a -3 penalty on all skills that rely in whole or in part on understanding someone’s emotional motivation, including Acting, Carousing, Criminology, Detect Lies, Diplomacy, Enthrallment, Fast-Talk, Interrogation, Leadership, Merchant, Politics, Psychology, Savoir-Faire, Sex Appeal, Sociology, and Streetwise. You can still have these skills – you just aren’t as good at them as someone without this disadvantage.

Low Empathy is common in androids, demons, golems, the undead, and some aliens. It is also appropriate for certain humans! This trait is mutually exclusive with the somewhat similar disadvantages Callous (p. 125) and Oblivious (p. 146), both of which assume some understanding of emotions, however flawed.",-20,
Low Pain Threshold,"You are very sensitive to pain of all kinds. Double the shock from any injury; e.g., if you take 2 HP of damage, you are at -4 to DX on your next turn. You roll at -4 to resist knockdown, stunning, and physical torture. Whenever you take a wound that does more than 1 HP of damage, you must make a Will roll to avoid crying out. This can give away your presence, and may earn you a -1 reaction from “macho” individuals.",-10,
Low Self-Image,"You lack self-confidence and underrate your abilities to such a degree that it interferes with your performance. You are at -3 to all skill rolls whenever you believe that the odds are against you or others expect you to fail (GM’s judgment). For instance, if you’re a mechanic, you have no penalty to repair an engine in your shop . . . But you are at -3 to make the same repairs on the road, in the rain, with only a portable tool kit, and an enemy hot on your trail – on top of the usual modifiers that would apply in that situation!",-10,
Low Tech Level,"Your personal TL is below that of the campaign world. You start with no knowledge (or default skill) relating to equipment above your personal TL. You will be able to learn DX-based technological skills (pertaining to vehicles, weapons, etc.) in play, if you can find a teacher, but fundamental differences in thinking prevent you from learning IQ-based technological skills. To overcome this limitation, you must buy off this trait, increasing your personal TL. This usually requires a lengthy period of re-education (see Chapter 9).",-5,
Lunacy,"The moon has a dramatic and inconvenient effect on your personality. During the full moon, you are
extremely emotional and volatile (-2 to all Will and self-control rolls), while on nights of the new moon, you are very passive (you temporarily suffer from the Laziness disadvantage). While the moon is waxing, you are focused and pleasant; while it is waning, you are apathetic and a little touchy. Roleplay it!",-10,
Magic Susceptibility,"Magic is more likely to affect you. Add your Magic Susceptibility to the skill of anyone casting a spell on you, and subtract it from your roll to resist any spell that you can resist. For instance, if you have Magic Susceptibility 4, wizards have +4 to cast spells on you and you get -4 to resist.

Magic Susceptibility only makes you more vulnerable to spells cast directly on you. It does not affect Missile spells, attacks by magic weapons, or information-gathering spells that aren’t cast directly on you. It also has no effect on supernatural powers other than magic; e.g., divine miracles, psionics, or the innate powers of spirits. Magic Susceptibility works normally against Area spells; do not double its effects as you would those of Magic Resistance (p. 67).

Magic Susceptibility, and its precise level, can be recognized by any mage who looks at your aura or by anyone who casts a spell on you. You may have no more than five levels of Magic Susceptibility.

You can combine Magic Susceptibility with Magery but not with Magic Resistance.",-3,
Maintenance,"You require skilled attention at regular intervals to avoid HT loss. Examples include a robot that needs a mechanic, a chronically ill person who needs a doctor’s attention, or a god that requires devout prayer.

Decide on the care you require and the skill needed to provide it. Possibilities include electronic maintenance (use Electronics Repair), mechanical maintenance (use Mechanic), medical care (use Physician), and physical repairs (use Carpentry, Electrician, etc.). You may specify an advantage or disadvantage instead; e.g., a god might require worshippers with Disciplines of Faith. You can split Maintenance between multiple skills; for instance, a robot might require Electronics Repair and Mechanic.

Those who maintain you must have access to the appropriate facilities: a mechanic needs tools, worshippers must pray at a temple, etc. No resources are consumed, however; for that, take Dependency (p. 130).

Each installment of maintenance takes one hour. The base point value depends on the number of people needed to perform it: 

Number of People	Point Value
1	-10
2	-20
3-5	-30
6-10	-40
11-20	-50
21-50	-60
51-100	-70

Add another -10 points per full doubling of the number of people required; e.g., a god that requires 10,000 worshippers would have a base -130-point disadvantage. Extra man-hours of maintenance may substitute for extra people, if the GM approves. 

The frequency with which you require maintenance modifies this base cost.

Maintenance Interval	Multiplier
Monthly	1/5
Bi-weekly	1/3
Weekly	1/2
Every other day	3/4
Daily	1
Twice daily	2
Three to five times daily	3
Constant	5

If you miss a maintenance period, your HT attribute drops by 1 and you must make a HT roll. Failure results in some additional incapacity of the GM’s choosing. Critical failure means a potentially fatal outcome; e.g., a human might suffer a heart attack, or a vehicle’s brakes might fail while it is moving.

To restore lost HT and capabilities requires suitable intervention and skill rolls (repairs if you’re a machine, surgery if you’re a living being, etc.). If you require an unusual form of maintenance, this might call for exotic measures!
",,
Manic-Depressive,"Your moods are on a seesaw. You bounce back and forth between bubbling enthusiasm and morose withdrawal. At the beginning of each play session, roll 1d. On 1-3, you are in your manic phase; 4-6 indicates depression. Every five hours of game time thereafter, roll 3d. A 10 or less indicates that you begin a mood swing. Over the next hour, you shift from your current phase to the opposite one. You remain in the new phase for at least five hours, after which you must again roll 3d.

In the manic phase, you suffer the effects of Overconfidence (p. 148) and Workaholic (p. 162). You are friendly, outgoing, and excited about whatever it is you’re doing. In the depressive phase, you suffer the effects of Chronic Depression (p. 126). You are not interested in doing anything but lying in bed, sitting in a dark room and moping, etc. Your effective self-control number for these effects is equal to your Will.

Emergencies can also cause mood swings; in that case, the switch is immediate. On a roll of 10 or less on 3d, you change phases. This can be good (an emergency jars you into action) or bad (a problem triggers depression and you become  worthless).",-20,
Megalomania,"You believe you are a superman, that you have been chosen for some great task, or that you are destined to conquer. You must choose a grand goal – most often conquest or the completion of some fantastic task. You must let nothing stand between you and this goal.

You may attract followers with Fanaticism, but nobody else enjoys hearing you talk about your brilliance and great plans. Young or naive characters, and fanatics looking for a new cause, react to you at +2; others will react at -2.

This is a better disadvantage for NPCs than it is for PCs.",-10,
Miserliness,"You are preoccupied with conserving your wealth. You must always hunt for the best deal possible. Make a self-control roll any time you are called on to spend money. If the expenditure is large, this roll may be at -5 or worse (GM’s decision). If you fail, you refuse to spend the money. If you absolutely  must spend the money, you should haggle and complain interminably. Note that you may have both Greed (p. 137) and Miserliness!",-10,TRUE
Missing Digit,"You are missing a finger or thumb.

Missing Finger: Gives -1 DX with that hand (only). - 2 points.

Missing Thumb: Gives -5 DX with that hand (only). -5 points.",,
Mistaken Identity,"You are often mistaken for someone else. Your “double’s” allies approach you and tell you things you don’t want to know, and his acquaintances will treat you in strange and irritating ways. His enemies are after you, too! You might eventually get things straightened out, but not without some effort. If every member of your race looks the same, your race qualifies for a bizarre feature (see Features and Taboo Traits, p. 261), but you do not have Mistaken Identity.",-5,
Motion Sickness,"You are miserable whenever you are in a moving vehicle, be it an  automobile, train, airplane, balloon, ship, or spacecraft. You may never learn any vehicle-operation skill. You must roll vs. HT as soon as you are aboard a moving vehicle. On a failure, you vomit and are at -5 on all DX, IQ, and skill rolls for the rest of the journey. On a success, you are merely  miserably queasy and at -2 on DX,  IQ, and skill rolls. Roll daily on long  journeys.",-10,
Mundane Background,"You have a complete lack of experience with the supernatural and the weird. When you first enter play, you can only have mundane skills and equipment. Magic spells, cinematic skills, etc. are off-limits. So are Hidden Lore and Occultism! You  can have supernatural advantages, but you can neither use them nor learn any skills that would allow you to use them. In fact, you have no idea that you possess such talents, save perhaps for the odd dream now and then. You must buy off this disadvantage if you wish to use supernatural advantages actively or learn any  skill related to the supernatural or the weird.

Mundane Background is only available in settings with supernatural or weird elements! It is not a valid disadvantage in perfectly mundane game worlds.",-10,
Mute,"You have a limited capacity for speech. 
 
Mute: You cannot vocalize at all. All communications with others must be nonverbal: writing, sign language, Morse code, telepathy, etc. Time spent communicating this way counts at full value for study of the related skills (see Chapter 9). No roll is required (or allowed!) when you try to communicate with PCs who don’t know your sign language – roleplay this on your own! You cannot have any other voice-related traits. ",-25,
Neurological Disorder,"You suffer from one of several neurological disorders that cause tremors, involuntary movements, facial contortions, etc. Point value depends on severity:

Mild: Your condition is obvious to anyone who observes you for more than a few seconds. You are at -2 to tasks that involve fine manipulation (see High Manual Dexterity, p. 59), and such tasks take twice the normal time. You also have -2 to social skills such as Acting, Leadership, Performance, Public Speaking, and Sex Appeal in any situation where your condition would be apparent (GM’s decision). - 15 points.

Severe: You find it difficult to function in normal society. You are at -4 to tasks that involve fine manipulation, and such tasks take four times as long. Your DX and Basic Move cannot exceed your racial average (DX 10 and Move 5 for a human), and might be lower. You get -4 to social skills when- ever your condition becomes apparent. - 35 points.

Crippling: You find it almost impossible to function in normal society. You are at -6 to tasks that involve fine manipulation, and such tasks take six times as long. Your DX and Basic Move cannot exceed 80% of your racial average (DX 8 and Move 4 for a human), and might be  considerably lower. You get -6 to social skills most of the time. - 55 points.

Many other symptoms are possible, including  gross  motor impairment (buy down DX or Move), involuntary vocalizations (treat as Noisy, p. 146), and facial contortions (reduce appearance level; see  Physical Appearance, p. 21). Violent tics and profane involuntary vocalizations might qualify as Odious Personal Habits (p. 22).",,
Night Blindness,"You have poor night vision. If the vision or combat penalty for poor lighting is between -1 and -4 for most people, your penalty is the worse  of double the usual penalty or -3. If the usual penalty is -5 or worse, you function as though you were completely blind (see Blindness, p. 124). If you have Acute Vision (p. 35), it only applies in situations with no darkness penalty.

This trait is mutually exclusive with both Night Vision (p. 71) and Dark Vision (p. 47).",-10,
Nightmares,"You are tormented each night by horrible nightmares. Sometimes they’re so harrowing that they affect your efficiency during waking hours. Make a self-control roll each morning upon awakening. If you fail, you suffered nightmares; this costs you 1 FP that you can only recover through sleep. On a roll of 17 or 18, you are left shaking, and are at -1 to all skill and Perception rolls for the entire day.

These nightmares can be so vivid that they’re indistinguishable from reality. The GM might choose to play them out in the game, starting out like a normal scenario and steadily becoming more horrible. The victim should only gradually come to suspect that he is dreaming. Such dreams can have a dramatic effect on the dreamer’s waking life, such as temporary Obsessions or Phobias, or even a psychosomatic loss of HP or attribute levels.

If other PCs are involved in the nightmare, they’re completely unaffected by anything that occurs there (but if the nightmare takes a long time to play out, the GM might wish to reward the players with a bonus character point as a token of appreciation for their time – maybe two points if they roleplayed the dream-situation particularly well). It’s the GM’s option whether to let the other players know in advance that the scenario is a dream. Either way can lead to unique and fascinating roleplaying.",-5,TRUE
No Depth Perception,"You have two eyes, but you lack effective binocular vision and cannot visually judge distances. This might be due to a vision disorder or a quirk of your racial neurology. The game effects are identical to One Eye (p. 147); you may not take both disadvantages.",-15,
No Fine Manipulators,"Your body lacks hands and possibly limbs. Point value depends on the extent of your limitation:

No Fine Manipulators: You have no body part more agile than paws or hooves. You cannot use your limbs to make repairs, pick locks, tie knots, wield weapons, etc., or even to grasp firmly. You may only select this trait if you have nothing  approaching the human hand in terms of overall versatility. If you have a beak, tongue, prehensile tail, etc. that is as good as a hand, you do not have No Fine Manipulators! -30 points.

Note that this trait is limited to non-humans and supers. Either level qualifies you to buy ST and DX with the -40% No Fine Manipulators limitation.",-30,
No Legs,"This disadvantage assumes that your race lacks legs. If your race has legs, but you are missing yours, see Lame (p. 141).

You are a member of a legless race. There are several different forms of this trait, but in all cases, you cannot kick, cannot be struck in the legs in combat, and need not wear leg armor. The point costs below assume that the benefit of having no legs for foes to target in combat balances the draw- back of being unable to kick.

Aerial:  You cannot move on land, but you can hover, glide, or fly. You must  purchase the Flight advantage (p. 56). Calculate Basic Speed as usual and use twice this value to determine your basic  air  Move, as described for Flight. Your  ground  Move is 0.  0 points.

Aquatic:  You cannot move on land, but you are adapted to movement on or in water, like a ship or a fish. Calculate Basic Move and use this as your basic  water  Move. Your  ground Move is 0. You suffer no skill penalties for working in or under water. 0 points. If your mobility depends on fins, masts, paddles, or sails that you can’t armor,  or you can’t dive: - 5 points.  If both: - 10 points.

Bounces, Rolls, or Slithers:  You move on land without using legs, like a snake or a wheel-form robot. Work out Basic Move and use it as your ground Move, just as a legged character would.  0 points.

Semi-Aquatic:  You “walk” on flippers, like a seal. Use Basic Move as your basic  water  Move and 1/5 this as your  ground Move – that is, reverse the normal relationship between ground and water Move. You suffer standard skill penalties in the water.  0 points.

Sessile:  Your base is anchored where you sit, like a tree or a building. You can’t move under your own power in  any environment, and lack the option of using a moving platform (although you can be  moved, with considerable effort). Your Basic Move is automatically 0, and you get no extra points for this. You can still have manipulators. If so, you wield weapons at no DX penalty, because unlike those with the Lame disadvantage, you have a very stable base! -50 points.

Tracked or Wheeled: You have tracks or wheels instead  of legs. Specify how many – one to four, or any higher  even number. If using hit locations, treat each track or wheel as if it were a leg. You can neither jump nor negotiate obstacles that require arms and legs working together (e.g., a ladder or rope). You always leave a visible trail (giving others a Tracking bonus: +1 for Wheeled, +2 for Tracked). Tracks are also  noisy  (+2 to all Hearing rolls to detect you), but let you handle rough terrain more easily. Tracked and Wheeled do not  reduce Move; in fact, you may buy up to three levels of Enhanced Move (Ground). This disadvantage usually accompanies the Machine meta-trait (p. 263). - 20 points.",,
No Manipulators,"Your body lacks hands and possibly limbs.

No Manipulators: You have  no limbs. The only way for you to manipulate objects is to push them around with your body or head. You can still move, and are capable of rolling, wriggling, bouncing, etc. At your Basic Move unless you buy it down to 0. - 50 points.

Note that this trait is limited to non-humans and supers. Either level qualifies you to buy ST and DX with the -40% No Fine Manipulators limitation.",-50,
No Sense of Humor,"You never get any jokes; you think everyone is earnestly serious at all times. Likewise, you never joke, and you  are earnestly serious at all times. Others react at -2 to you in any situation where this disadvantage becomes evident.",-10,
No Sense of Smell/Taste,"This affliction – known as  anosmia – prevents you from smelling or tasting anything.  Thus, you are unable to detect certain hazards that ordinary people spot quickly. However, the dis- ability has its advantages . . . you need never worry about skunks, and can always eat what is set before you.",-5,
Nocturnal,"You can only be active when the sun is below the horizon. This represents more than a preference for night over day! As soon as dawn starts to break, you become lethargic – and when the sun clears the horizon, you fall paralyzed and comatose until the sun goes down again.

Note that this is  not the same as the biological term “nocturnal.”

Special Enhancements
Permanent Paralysis: You turn to stone or suffer some other permanent incapacitation if struck by the sun’s rays. Only one specific power or item – most often a powerful magic spell – can reverse this effect. Details are up to the GM. +100%.",-20,
Noisy,"You make a lot  of noise! Perhaps you’re a ghost with clanking chains, a cyborg with a rasping ventilator, or a machine with a loud engine . . . or perhaps you’re absurdly inept at stealth.

You make noise constantly – even when standing still – unless you are comatose (for animate beings) or powered down (for machines). Each level gives +2 to Sense rolls to hear you or - 2 to your Stealth rolls, as the situation warrants. In some circumstances (e.g., at the opera), each level might also give -1 to reactions! You may not take more than five levels of Noisy without the GM’s permission.",-2,
Non-Iconographic,"You are incapable of processing abstract images and symbols. Graphical computer interfaces, maps, heraldic devices, and magical runes are completely meaningless to you. Like Dyslexia (p. 134), this is a structural shortcoming of your brain;  you cannot normally buy it off. 

You cannot learn Cartography, Heraldry, Symbol Drawing, or any similar skill used mainly to design or arrange patterns and symbols. You also cannot use graphical computer interfaces; you are limited to text interfaces and immersive virtual realities. Finally, since you cannot grasp magical symbols, you cannot learn magic save through oral tradition.

Note that you can process text without difficulty, and may learn written languages normally (see  Language, p. 23).",-10,
Numb,"You have no sense of touch. You have a limited degree of pressure sense – enough to feel your weight and stand up and walk without falling over – but you cannot distinguish textures by touch at all. Feats that depend on touch alone (e.g., touch-typing, or untying your hands behind your back) are impossible for you.

When performing a task that requires hand-eye coordination, you suffer all the effects of one level of Ham-Fisted unless you take twice as long to perform the action and can clearly see what you’re doing. If you also have Ham-Fisted, add its effects.

You experience pain, temperature, and shock as acutely as anyone else, unless you also have High Pain Threshold (p. 59), but you won’t know where you were injured without looking. Instead, you feel pain as generalized shock throughout your entire body. As a result, you cannot perform First Aid on yourself if you can’t see the injury.",-20,
Oblivious,"You understand others’ emotions but not their motivations. This makes you awkward in situations involving social manipulation. You are the classic “nerd”! You have -1 to use or resist Influence skills (see Influence Rolls, p. 359): Diplomacy, Fast-Talk, Intimidation, Savoir-Faire, Sex Appeal, and Streetwise.",-5,
Obsession,"Your entire life revolves around a single goal. Unlike Compulsive Behavior (p. 128), this is not a daily habit, but an overpowering fixation that motivates all of your actions. And unlike Fanaticism (p. 136), this does not necessarily imply a set of philosophical beliefs.

You must rationalize all of your actions as an attempt to reach your goal. Make a self-control roll whenever it would be wise to deviate from your goal. If you fail, you continue to pursue your Obsession, regardless of the consequences.

Point cost depends on the time needed to realize your goal. A short-term goal (e.g., assassinating some- one) is worth -5 points, while a long-term goal (e.g., becoming President) is worth -10 points. In both cases, modify the base cost to reflect your self-control number. If your Obsession causes others to react badly, take Odious Personal Habit (p. 22) or Delusion (p. 130) as well.

Should you ever reach your goal, you must either substitute a new goal or buy off your Obsession.",-5,TRUE
Odious Personal Habits,"You usually or always behave in a fashion repugnant to others. An Odious Personal Habit (OPH) is worth -5 points for every -1 to reaction rolls made by people who notice your problem. Specify the behavior when you create your character, and work out the point value with the GM. 

Examples: Body odor, constant scratching, or tuneless humming would give -1 to reactions, and are worth -5 points apiece. Constant bad puns or spitting on the floor would give -2 to reactions, worth -10 points apiece. We leave -15-point habits (-3 to reactions) to the imagination of those depraved enough to want them! 

The reaction penalty for an OPH applies only to members of your race. It is up to the GM to handle the reactions of other races. A constant drool will irritate other humans, but a Martian might not even notice – and a troll might think it was cute! Of course, an entire race can behave in a manner repugnant to most other races. These “Odious Racial Habits” are priced identically to OPHs.",-5,
On The Edge,"You take grossly unreasonable risks in the face of mortal danger. Make a self-control roll whenever you face a life-threatening situation: piloting a burning vehicle, staring down an entire street gang while armed only with a toothbrush, etc. If you fail, you  may not back down from the  challenge – but you may roll again after every success roll or reaction roll relating to the situation. This might be once per second in a potential combat situation but only once per day on a dangerous space mission.

In combat, make a self-control roll every time you take your turn. If you fail, you must make an All-Out attack or engage in some other kind of near-insane, suicidal behavior.

Most people think you’re crazy if they witness this behavior, giving -2 on reaction rolls. Individuals who value bravery over self-preservation (GM’s decision) will react at +2.",-15,TRUE
One Arm,"You have only one arm. You cannot use two-handed weapons, wield two weapons at once (or a weapon and a shield), or perform any task that requires two arms. You get -4 on tasks that are possible with one arm but that are usually executed with two (e.g., most Climbing and Wrestling rolls). You have no penalty on tasks that require only one arm. In all cases, the GM’s ruling is final. When in doubt, try a quick reality check if possible!

If you originally had two arms, assume that you lost the left arm if you were right-handed, or vice versa.

If you are a nonhuman who only had one arm to begin with, your “arm” need not be an arm at all – it can be any appendage capable of fine manipulation. For instance, a parrot that used its beak and tongue would have One Arm (and not No Fine Manipulators).

If you have advanced prosthetics that cancel One Arm while worn, apply a Mitigator limitation (p. 112). Should you ever eliminate One Arm completely through surgery or an ultra-tech replacement limb, you must pay back the points you received for it.",-20,
One Eye,"You have only one eye. Either you are missing an eye (in which case you may wear a glass eye or cover the missing eye with a patch) or you have only a single, cyclopean eye. You suffer -1 to DX in combat and on any task involving hand-eye coordination, and -3 on ranged attacks (unless you Aim first) and on rolls to operate any vehicle faster than a horse and buggy.

Some cultures regard those who are missing an eye as unattractive. If this is generally true in your game world, losing an eye will also reduce your appearance by one level (see Physical Appearance, p. 21). If you start with this trait, assume that it is already factored into your appearance – do not apply an additional reaction modifier.",-15,
One Hand,"You have only one hand. For the most part, use the rules under One Arm (above). The difference is that you may make unarmed parries with a handless arm, and possibly strap something to it (e.g., a shield).

Good-quality prosthetic replacements use the rules under One Arm. Not all prosthetics are good enough to count as Mitigators, though. A low-tech mechanical replacement gives you -2 (for a grabber) or -4 (for a hook or claw) on tasks involving that hand. A hook or claw also counts as an undroppable large knife in combat (use Knife skill), and gives +1 to Intimidation skill if waved at your foes. In some societies, such crude replacements will reduce appearance as described under One Eye (above).",-15,
Overconfidence,"You believe that you are far more powerful, intelligent, or competent than you really are. You may be proud and boastful or just quietly determined, but you must roleplay this trait. 

You must make a self-control roll any time the GM feels you show an unreasonable degree of caution. If you fail, you must go ahead as though you were able to handle the situation! Caution is not an option.

You receive +2 on all reaction rolls from young or naive individuals (who believe you are as good as you say you are), but -2 on reactions from experienced NPCs.

Overconfidence is like Megalomania (p. 144) on a smaller scale. Robin Hood was overconfident – he challenged strangers to quarterstaff duels. Hitler was a megalomaniac – he invaded Russia! Heroes are  rarely megalomaniacal but often overconfident.",-5,TRUE
Overweight,"You have approximately 130% the average weight for your ST. You get -1 to Disguise – or to Shadowing, if you are trying to follow someone in a crowd. However, your extra fat gives you +1 to Swimming rolls, and +1 to ST when you resist knockback.",-1,
Pacifism,"You are opposed to violence. This can take several forms. Choose one  of the following:

Reluctant Killer:  You are psychologically unprepared to kill people. Whenever you make a deadly attack (e.g., with a knife or a gun) against an obvious person whose face is visible to you, you are at -4 to hit and may not Aim. If you cannot see the foe’s face (due to a mask, darkness, or distance, or because you attacked from behind), the penalty is only -2, save in close combat. You have no penalty to attack a vehicle (even an occupied one), an opponent you do not believe is a person (including things with Horrific or Monstrous appearance), or a target you can’t actually see (e.g., a set of map coordinates or a blip on a radar screen). If you kill a recognizable person, the effect on you is the same as for Cannot Kill (see below). You have no problem with your allies killing; you may even supply ammo, loaded weapons, and encouragement! You just can’t do the killing yourself. - 5 points.

Cannot Harm Innocents:  You may fight – you may even  start fights – but you may only use deadly force on a foe that is attempting to do you serious harm. Capture is not “serious harm” unless you are already under penalty of death or have a Code of Honor that would require suicide if captured. You never intentionally do anything that causes, or even threatens to cause, injury to the uninvolved – particularly if they are “ordinary folks.” This trait is especially appropriate for crime-fighters, supers, etc. - 10 points.

Cannot Kill: You may fight – you may even  start fights – but you may never do anything that seems likely to kill another. This includes abandoning a wounded foe to die “on his own”! You must do your best to keep your companions from killing, too. If you do kill someone (or feel responsible for a death), you immediately suffer a nervous breakdown. Roll 3d and be totally morose and useless (roleplay it!) for that many days. During this time, you must make a Will roll to offer any sort of violence toward anyone, for any reason. - 15 points.

Self-Defense Only: You only fight to defend yourself or those in your care, using only as much force as necessary (no pre-emptive strikes allowed!). You
must do your best to discourage others from starting fights. - 15 points.

Total Nonviolence: You will not lift a hand against another intelligent creature, for any reason. You must do your nonviolent best to discourage violent behavior in others, too. You are free to defend yourself against attacks by animals, mosquitoes, etc. -30 points.

In a high-realism campaign, the GM might require all PCs to start out with Reluctant Killer or even Cannot Kill, giving them extra points but  putting them at a disadvantage when facing hardened foes.",,
Paranoia,"You are out of touch with reality, and think that everyone is plotting against you. You never trust anyone except old friends . . . and you keep an eye on them, too, just in case. Most people, understandably, react to you at -2. A paranoid NPC reacts at -4 toward any stranger, and any “legitimate” reaction penalty (e.g., for an unfriendly race or nationality) is  doubled. Paranoia goes very well with Delusions (p. 130), which of course have their own disadvantage value!",-10,
Phantom Voices,"You are plagued by whispered phrases that only you can hear. These voices might be unintelligible, or they might repeat the same words over and over. Eventually, your sanity (such as it is) will start to erode.

In any situation that the GM feels is stressful, he may roll 3d. On a 6 or less, you hear voices. The GM will always roll whenever you miss a Fright Check or make the roll exactly, and whenever you fail a self-control roll for another stress-related disadvantage. The voices occur in addition to  any other results!

Point value depends on the nature of the voices:

Annoying: You hear voices, but you are reasonably sure that they are not real, and they do not harm you directly. Still, most people who see you responding to unheard noises will react at -2. - 5 points.

Disturbing: As above, but in addition, the voices can drown out normal sounds, and may even startle and frighten you (possibly requiring a Fright Check). - 10 points.

Diabolical: The voices tell you to kill – yourself or others – or perform other terrible deeds. If you are already under stress, or under the influence of drugs, you might need to make a Will roll to avoid carrying out the “orders” (GM’s discretion). - 15 points.

Phantom Voices are usually due to mental problems, but they may also be symptomatic of some form of supernatural possession. If so, psychotherapy cannot reveal the cause, much less cure the problem. If you manage to exorcise the evil spirits, you are cured and must buy off this disadvantage.",-5,
