spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Lend Energy,Regular,"Restores the subject’s lost Fatigue Points, at an energy cost to the caster.
Cannot increase the subject’s FP score above its normal maximum.",,"Any amount; the energy spent by the caster goes to the subject as restored FP (e.g., if the caster spends 5 energy, the subject regains 5 lost FP). Casting cost is not reduced by high skill.",,,Magery 1 or Empathy (p. B51).,Hard,Healing,"Wand, staff, or jewelry.
Energy cost to create: 100."
Lend Vitality,Regular,"Temporarily restores the subject’s lost Hit Points, at an energy cost to the caster. Cannot increase the subject’s HP score above its normal maximum.
Since restored HP vanish after one hour and the spell cannot be maintained, this spell is only a stopgap measure.",1 hour,"Any amount; the energy spent by the caster goes to the subject as restored FP (e.g., if the caster spends 5 energy, the subject regains 5 lost HP). Casting cost is not reduced by high skill.",,,Lend Energy,Hard,Healing,"Wand, staff, or jewelry.
Energy cost to create: 250."
Share Energy,Regular,"The caster makes his FP available to another wizard’s spell casting. The caster may only cast this spell on himself. He must specify who can draw FP from him in the next second – nobody else may do so. More than one wizard may be specified, and a limit of 5 FP may be drawn in a single second. The caster may specify a lower limit! HP may not be used to cast this spell.

If a specified wizard does not draw FP before the caster’s next turn, the Share Energy spell expires, costing the caster one FP. The wizard casting the other spell does not have to be aware of the Share spell’s existence. As he casts his spell, he will feel an outside energy attempting to aid him – he may yield to that or deny it, paying the cost himself.

A spell can draw power from only one Share spell. If more than one Share spell is cast, use the closest one; roll randomly if two are equally close.",The FP must be used in a spell that turn.,"Twice the amount actually used by the wizard who draws the FP.
The energy spent by the caster goes to power another wizard’s spell. FP beyond that needed by the spell is not transferred to the other wizard – use Lend Energy to do that. The cost to cast this spell is never reduced by high skill. A minimum of 1 FP is always spent when casting this spell.",,,Lend Energy,Hard,Healing,
Recover Energy,Special,"Rest and recover Fatigue Points more quickly than normal by drawing energy from the mana around him. A normal person recovers 1 FP every 10 minutes. A mage who knows this spell at skill 15 or higher recovers 1 FP every 5 minutes. A mage who knows this spell at skill 20 or higher recovers 1 FP every 2 minutes. No further improvement is possible. Note that this spell works on the caster himself; it cannot restore FP to others.

The mage must rest quietly, but no ritual or die roll is required. While resting, he can maintain ordinary spells, but not those that require  concentration.
This spell does not function in low- or no-mana areas.",,None,,,Magery 1 and Lend Energy.,Hard,Healing,"Jewelry. Permits wearer to recover as though he had this spell at level equal to item’s Power; always on. A very rare item!
Energy cost to create: 1,000; must be made of alloyed gold and platinum  (minimum value of a small ring $500)."
Remove Contagion,Area,"Purifies the subject area of contagious disease-causing agents – microbes, disease spirits, foul air, etc. – rendering it sterile and free from infection. This spell can be used to cleanse and sterilize anything from a disease-cult temple to an operating theatre. It will not cure or relieve disease in living creatures; it serves only to cleanse and purify objects and surfaces.

Infectious areas or objects treated with Remove Contagion cannot serve as a source of contagion (see Contagion, p. B443) until reinfected.",Until disease-causing agents return to the affected area.,3,,2 seconds,"Decay, Clean, or Cure Disease.",Hard,Healing,"Wand or staff, decorated in a snake pattern. Subject must be touched by item.
Energy cost to create: 400."
Awaken,Area,"Renders the subject(s) awake and alert. It instantly counters the effects of stunning. If the subject is very fatigued (less than 1/3 basic FP), this spell renders him alert for an hour but costs him 1 FP at the end of that time. It has no effect on those with 0 or fewer FP. Sleeping or unconscious subjects get a HT roll to awaken, at a bonus equal to the caster’s margin of success. A subject rolls at -3 if unconscious due to injury, at -6 if drugged.",,1,,,Lend Vitality,Hard,Healing,"Wand or staff. The item must touch the subject.
Energy cost to create: 300."
Relieve Sickness,Regular; Resisted by subject spell.,"Temporarily relieves a subject of any sickness symptoms he may have been displaying (fever, dizziness, rash, cough, etc.). The spells Sickness and Drunkenness get to resist. Note that only the symptoms are cured. Relieve Sickness will sober a drunk for the duration – but for a permanent cure, use Neutralize Poison.",10 minutes,2,,10 seconds,Lend Vitality,Hard,Healing,"Wand, staff, or jewelry.
Energy cost to create: 250."
Share Vitality,Regular,"The caster heals another’s injuries by transferring them to himself, losing as many HP as the subject heals. If the subject had a crippled limb, it will remain so – only the HP loss is healed.

Likewise, the injury applied to the caster will not cripple him (although it could certainly put him into unconsciousness or even kill him; the spell includes no “safety net” for overly kind wizards). The caster does not suffer the normal skill penalty for spending HP to cast spells, nor is he penalized for recasting on the same subject.",Permanent; the caster can be healed of his new injuries through normal or magical means.,No energy need be expended; high skill only affects casting time.,,1 second per HP transfered.,Lend Vitality,Hard,Healing,
Resist Disease,Regular,"The subject is immune to diseases for the duration of the spell, as per the Immunity to Disease advantage (p. B80). ",1 hour,4,3,10 seconds,Remove Contagion or Vigor.,Hard,"Healing, Protection and Warning","(a) Jewelry. Always on; the wearer is immune to diseases. A rare and prized item!
Energy cost to create: 1,000 for an item that resists one specific disease, 2,500 for  one that resists all diseases.

(b) Jewelry. Always on; prevents the wearer from spreading any disease he may have. “Lepers’ Cords” are an example of this item.
Energy cost to create: 250."
Resist Poison,Regular,"The subject becomes immune to poisons for the duration of the spell.
For some very persistent poisons, this is only a delay of the inevitable, since traces of the poison may still be in the subject’s system when the spell ends!",1 hour,4,3,10 seconds,Vigor,Hard,"Healing, Protection and Warning","Jewelry. The item must bear a picture of a unicorn. Always on; wearer is immune to poison. A rare and prized item!
Energy cost to create: 500 for an item that resists one specific poison, 4,000 for one that resists all poisons."
Stop Bleeding,Regular,"The subject stops bleeding immediately, as if bandaged by someone with the First Aid skill (p. B195). This restores 1 HP, and prevents further HP loss from bleeding if the optional bleeding rules (p. B420) are in effect.

The subject of this spell may not subsequently benefit from further bandaging of the same wounds.
This spell may also be used to stabilize a mortal wound (p. B423), at a substantially higher cost.","Permanent, although later injuries will bleed normally.",1 to stop bleeding on a normal wound; 10 to stabalize a mortal wound.,,,Lend Vitality,Hard,Healing,"Any item. The item must bear a picture of a pelican. It prevents its wearer from bleeding and from suffering mortal wounds.
Energy cost to create: 500."
Minor Healing,Regular,"Restores up to 3 HP to the subject. Does not eliminate disease or poison, but will cure damage caused by these things.

This spell is risky if used more than once per day by the same caster on the same subject. If you try, roll at -3 for the first repetition, -6 for the second, and so on.

If you have the Physician skill at level 15 or higher, a critical failure with this spell counts only as an ordinary failure – unless you are trying the spell more than once per day on the same subject.",,1 to 3. The same amount is restored to the subject.,,,Lend Vitality,Hard,Healing,"Wand or staff, decorated in a snake pattern. The item must touch the  subject. Usable only by mages, or by nonmages with Physician skill 15 or higher.
Energy cost to create: 600."
Major Healing,Regular,"Restores up to 8 HP to the subject. Does not eliminate disease or poison, but will cure damage caused by these things.

Otherwise, this spell functions just like Minor Healing: it is at -3 per casting on the same subject in one day, and Physician skill at level 15 or higher will mitigate the effects of a critical failure.

The penalties for repeated casting accrue separately for Minor Healing and Major Healing. For instance, a caster could cast both spells on the same subject in the same day at no penalty.",,1 to 4. Twice the amount spent is restored to the subject.,,,Magery 1 and Minor Healing.,Hard,Healing,"Wand or staff decorated in a snake pattern. The item must touch the subject. Usable only by mages, or by nonmages with Physician skill 20 or higher.
Energy cost to create: 1,500."
Great Healing,Regular,"Restores all of the subject’s missing HP. Does not eliminate disease or poison, nor does it restore crippled or missing body parts, but it can heal HP lost to any of these things.

A given subject can only benefit from this spell once per day, whether cast by the same caster or by a different caster each time.

If you have the Physician skill at level 15 or higher, a critical failure with this spell counts only as an ordinary failure.",,20. One try per day per subject.,,1 minute,Magery 3 and Major Healing,Very Hard,Healing,"Wand or staff decorated in a snake pattern. The item must touch the subject. Usable only by mages, or by nonmages with Physician skill 25 or higher.
Energy cost to create: 4,000."
Cure Disease,Regular,"Eliminates one type of disease or infection from the body of the subject.
A successful Diagnosis roll (by the caster or another) should precede the casting; if not, spell use is at -5! Does not cure any damage the illness has done to the subject; the spell just eliminates the underlying sickness.","The illness is gone, but the subject isn't immune forever...",4,,10 minutes. One try.,Relieve Sickness and Major Healing.,Hard,Healing,"Wand or staff, decorated in a snake pattern. The item must touch the subject. Usable only by mages.
Energy cost to create: 800 to cure one specific disease, or 1,500 for an item that cures any disease."
Neutralize Poison,Regular,"Eliminates all traces of one chosen poison from the body of the subject. A successful Poisons roll (by the caster or another character) should precede the casting in order to identify the poison being treated; if not, spell use is at -5! This spell is of no use against alchemical elixirs other than those that do direct damage. Does not cure existing damage – the spell just removes the remaining poison, avoiding any further damage.",Permanent,5,,30 seconds (beware fast-acting poisons!). One try.,Either Magery 3 and Test Food or Cure Disease.,Hard,Healing,"Staff or wand decorated in a snake pattern. Usable only by a mage or a nonmage with Physician-20 or higher. The item must touch the subject.
Cost to create: 400 for an item that cures one specific poison, 1,500 for an Item that cures any poison."
Instant Neutralize Poison,Regular,"As Neutralize Poison, but works instantly. A Poisons roll is not required for successful use of this spell!

Eliminates all traces of one chosen poison from the body of the subject. A successful Poisons roll (by the caster or another character) should precede the casting in order to identify the poison being treated; if not, spell use is at -5! This spell is of no use against alchemical elixirs other than those that do direct damage. Does not cure existing damage – the spell just removes the remaining poison, avoiding any further damage.",,8. One try per day.,,,Magery 2 and Neutralize Poison.,Very Hard,Healing,"Eliminates all traces of one chosen poison from the body of the subject. A successful Poisons roll (by the caster or another character) should precede the casting in order to identify the poison being treated; if not, spell use is at -5! This spell is of no use against alchemical elixirs other than those that do direct damage. Does not cure existing damage – the spell just removes the remaining poison, avoiding any further damage."
Relieve Addiction,Regular,"Partially replaces a “daily dose” of some drug required by the subject.
The subject will still feel the psychological effects of missing a dose (that is, a Will-modified HT roll is still required to count the day toward shaking off the addiction), but will not suffer any physical damage from withdrawal.

Modifiers: This spell is at a -4 penalty if the caster casts it on himself, and at a cumulative -4 per consecutive daily casting on the same subject (thus, it gets harder and harder for the spell to replace the drug). In addition, the withdrawal penalty inherent to the drug is applied to any casting!",1 day,6,,10 seconds,Neutralize Poison,Hard,Healing,
Relieve Madness,Regular,"Temporarily restores a subject’s sanity, relieving him from a single Delusion, Phobia, Compulsion, or spell-induced Madness (caster’s choice). The Madness and Permanent Madness spells get to resist.",10 minutes,2,,10 seconds,Lend Vitality and Wisdom,Hard,"Healing, Mind Control","Wand, staff, or jewelry.
Energy cost to create: 850."
Restore Sight,Regular,"Temporarily restores the subject’s sight, regardless of what caused the loss (if the loss of sight is magical in nature, however, the responsible spell gets to resist). The eyes must not be completely missing (that requires Regeneration). For a permanent cure, use Restoration.",1 hour,Equal to half of the restored Vision score (Per + Acute Vision).,Half,5 seconds,Minor Healing and either Keen Vision or Strike Blind,Hard,Healing,"Jewelry or clothing. Always on.
Energy cost to create: 1,000."
Restore Hearing,Regular,"Similar to Restore Sight, but for Hearing.
Temporarily restores the subject’s hearing, regardless of what caused the loss (if the loss of hearing is magical in nature, however, the responsible spell gets to resist). The eardrums or other organs of hearing must not be completely missing.",1 hour,Equal to half of the restored Hearing score (Per + Acute Hearing).,Half,5 seconds,Minor Healing and either Keen Hearing or Strike Deaf.,Hard,Healing,"Jewelry (earrings are especially appropriate) or clothing. Always on.
Energy cost to create: 1,000."
Restore Memory,Regular,"Used to cure the victims of memory loss, either mundane or magical.
The spell restores one forgotten fact or skill at a time. The Forgetfulness spell resists; Permanent Forgetfulness resists at +5. This spell will not permit the subject to recall something that he never actually memorized in the first place (but see the Recall spell, p. 106).

The spell is risky if used more than once per day on the same subject: each repeat casting is at a cumulative -3 penalty. A critical failure is very hazardous – the memory being sought is destroyed forever, and the subject is plunged into a frightening sequence of buried memories lasting 2d minutes.
This causes a Fright Check at a -6 penalty.

If the caster has Psychology skill at 15 or higher, a “critical failure” on this spell counts as an ordinary failure – unless he has already tried the spell more than once that day on the same subject.",The memory is recovered permanently,3,,10 seconds,Awaken and IQ 11 or higher.,Hard,Healing,"Wand or staff; the item must bear a picture of an elephant. The item must touch the subject.
Energy cost to create: 600."
Restore Speech,Regular,"Similar to Restore Sight, but for Speech.
Temporarily restores the subject’s speech, regardless of what caused the loss (if the loss of speech is magical in nature, however, the responsible spell gets to resist). The tongue and vocal cords cannot be completely missing.",1 hour,5,3,5 seconds,Minor Healing and either Great Voice or Strike Dumb.,Hard,Healing,"Jewelry or clothing. Always on.
Energy cost to create: 1,000."
Stop Paralysis,Regular,"Counters temporary paralysis (due to spell, paralysis gun, etc.). An ongoing spell (such as Paralyze Limb or Total Paralysis) gets a resistance roll.",,1 for a single limb. 2 for the whole body.,,,Either Minor Healing and Paralyze Limb or Major Healing.,Hard,Healing,"Staff, wand, or jewelry.
Energy cost to create: 200."
Relieve Paralysis,Regular,"Temporarily restores a subject’s use of his paralyzed or crippled limbs. The limbs must not, of course, be completely missing (that requires Regeneration). Since limbs wither with disuse, the GM should use his judgment and assess DX and ST penalties to the use of such restored limbs.",1 minute,Equal to the crippling threshold for the limbs affected.,Same,10 seconds,Stop Paralysis,Hard,Healing,"Jewelry or clothing. Always on.
Energy cost to create: 200 per point of crippling threshold effectively restored (should the wearer’s crippling threshold be higher than the capacity of the item, assess the difference as a penalty to DX and ST for that limb)."
Restoration,Regular,"Regain the use of one crippled limb or damaged eye – also restores lost hearing, smell, etc. Will not work on a lost limb or eye – that requires Regeneration. (If a limb has been amputated and is intact, you may try Restoration within the hour, at -5 to skill, to put it back on!)",Permanent,15. One try.,,"1 minute to cast the spell; 1 month before the process of restoration is complete. The part may not be used at all until the month has passed; it simply won’t work, even though it may appear to be healthy.","Either Major Healing or any two of Relieve Paralysis and the various ""Restore"" spells.",Very Hard,Healing,"Wand or staff, decorated in a snake pattern. Usable only by mages. Subject must be touched by item.
Energy cost to create: 2,000."
Instant Restoration,Regular,"As Restoration, but works instantly.

Regain the use of one crippled limb or damaged eye – also restores lost hearing, smell, etc. Will not work on a lost limb or eye – that requires Regeneration. (If a limb has been amputated and is intact, you may try Restoration within the hour, at -5 to skill, to put it back on!)",Permanent,50. One try.,,,Magery 2 and Restoration.,Very Hard,Healing,"Wand or staff, decorated in a snake pattern. Usable only by mages. The item must touch the subject.
Energy cost to create: 2,500."
Regeneration,Regular,Regrow one lost limb or eye.,Permanent,20. One try.,,1 minute to cast the spell; 1 month before the process of regeneration is complete. The regenerating part may not be used at all until the month has passed.,Magery 2 and Restoration.,Very Hard,Healing,"Wand or staff, decorated in a snake pattern. Usable only by mages. The item must touch the subject.
Energy cost to create: 3,000."
Instant Regeneration,Regular,"As Regeneration, but works instantly.
Regrow one lost limb or eye.",Permanent,80. One try.,,,Magery 3 and Regeneration.,Very Hard,Healing,"Wand or staff, decorated in a snake pattern. Usable only by mages. The item must touch the subject.
Energy cost to create: 4,000."
Cleansing,Regular; Special Resistance,"Cleanses the subject of any foreign matter in his tissues, including cactus or porcupine spines, arrowheads, barbs, bullets, splinters, etc. Also eliminates external (but not internal) bacteria and parasites. Has no effect against diseases, poisons or drugs. The subject must be willing or totally helpless (e.g., bound or unconscious) and the caster must touch him.

“Foreign matter” that is somehow integral to the subject (gold teeth, steel plates or rods, glass eyes, cyberware, and so on) must be excluded by the caster or it may be destroyed as well! If the caster is careless (or malicious), each item resists separately with HT+5 of the subject.",,"2 to cleanse a hand or foot, 4 for a torso or limb, 6 for an entire body.",,3 seconds,Minor Healing and Purify Earth.,Hard,Healing,"Wand or staff, decorated in a snake pattern. The item must touch the subject. Usable only by a mage or a nonmage with Surgery-15 or higher.
Energy cost to create: 250."
Suspended Animation,Regular; Resisted by HT,"Holds the subject in apparent sleep, indefinitely. The effects of severe bleeding, disease, age, etc. are all halted while the spell is in effect. The subject requires neither food nor air, but can still be harmed by fire, weapons, and other natural hazards.",Remains in effect until broken (the Awaken spell works well).,6,,30 seconds,Sleep and at least four Healing spells.,Hard,Healing,"(a) Jewelry, arrow, or clothing. Always on; the item puts its wearer in suspended animation instantly. The spell lifts immediately when the item is removed.
Energy cost to create: 2,000.

(b) Crypt, coffin, etc. Always on; puts the occupant in suspended animation.
Energy cost to create: 2,000 per human-sized space."
Healing Slumber,Regular; Automatic Resistance,"Subject falls into a deep restorative sleep, and heals 1 HP for every hour of rest. Fatigue is recovered at double the normal rate.

The subject wakes once completely healed, or after 8 hours have passed; any fatigue from lost sleep is also completely recovered after that time.
Otherwise, he can only be awakened by a word from the caster, an injury or the Awaken spell (or Remove Curse, Counterspell, etc.). An unwilling subject resists automatically.",Up to 8 hours (maximum recovery of 8 HP per day).,"6. For a cost of 10, the speed of recovery is doubled. Maximum recovery is unchanged.",,30 seconds,"Magery 2, Sleep, and Minor Healing",Hard,Healing,"(a) Wand or staff, decorated in a snake pattern. The item must touch the subject. Usable only by a mage or a nonmage with Physician-15 or higher.
Energy cost to create: 1,000.

(b) Any item. If the wearer is willing to sleep (or faints from fatigue or injury), the item activates. The wearer wakes if the item is removed or once the spell lapses (if the wearer’s HP is still negative, see Recovering From Unconsciousness, p. B423).
Energy cost to create: 900"
Halt Aging,Regular,Stops the subject from aging for one month. Cannot be cast again until the first spell wears off.,1 month,20. One try per week.,,,Magery 2 and at least eight Healing spells.,Very Hard,Healing,"Jewelry. Always on; the item prevents aging while it is worn. Kingdoms have been toppled for possession of such things . . .
Energy cost to create: 10,000."
Youth,Regular,"Removes one year from the subject’s age. Any attribute levels lost in that period are automatically regained. Does not affect memories, skills, injuries, etc., gained during the “lost” months.",Subject starts aging again immediately.,100. One try per month.,,,Magery 3 and Halt Aging.,Very Hard,Healing,
Resurrection,Regular,"Brings the subject back to life, provided that the body, or most of it, is available. This is the GM’s decision; note that a body that has reached -10xHP is by definition too damaged for resurrection. The resurrected subject has FP and HP 0, and must regain FP and HP in the normal fashion. All his limbs will be intact, regardless of the injuries that killed him. The caster’s skill is at a -1 penalty for each full day between the subject’s death and the beginning of the spell.","Permanent, until you're killed again...",300. One try.,,2 hours,Instant Regeneration and Summon Spirit.,Very Hard,"Healing, Necromantic","There are persistent rumors of a magic item that will bring the dead to life, but nothing specific is known."
Simple Illusion,Area,"Creates a purely visual image that can be seen by anyone in view of the area it occupies. It may be a single object or an entire scene. It may move to a different area, or change size or shape up to its maximum area, if the caster concentrates. Any sapient creature can dispel it by “disbelieving” – taking a Concentrate action and making a successful Will roll. The illusion is automatically dispelled by any attack, any other spell except Control Illusion, or the touch of any sapient creature.",1 minute,1,Half,,Caster must be able to see and have IQ 11 or better.,Hard,Illusion and Creation,
Complex Illusion,Area,"As Simple Illusion, but affects hearing as well as sight. It is not automatically dispelled by a spell or touch; however, any amount of actual damage will dispel the illusion.

Creates an image that can be seen by anyone in view of the area it occupies. It may be a single object or an entire scene. It may move to a different area, or change size or shape up to its maximum area, if the caster concentrates. Any sapient creature can dispel it by “disbelieving” – taking a Concentrate action and making a successful Will roll. The illusion is automatically dispelled by any attack.",1 minute,2,Half,,Sound and Simple Illusion,Hard,Illusion and Creation,
Perfect Illusion,Area,"As Complex Illusion, but affects all the senses except touch; your hand will go through it. It cannot be dispelled except by Dispel Magic or Dispel Illusion. Any damage at all will temporarily disturb the illusion, revealing it for what it is without  dispelling it.

Creates an image that can be seen by anyone in view of the area it occupies. It may be a single object or an entire scene. It may move to a different area, or change size or shape up to its maximum area, if the caster concentrates.",1 minute,"3. For double cost, even the sense of touch will be fooled, though you cannot ""really"" warm yourself from an illusionary fire.",Half,,Magery 1 and Complex Illusion.,Hard,Illusion and Creation,
Illusion Shell,Regular,"This illusion makes a chosen object look, sound, and feel different. The base object must be of the appropriate size and shape. The illusion may be disbelieved, but is otherwise stable. However, it will not move about unless the underlying object moves. Damage done by the underlying object is unaffected. For example, an illusion shell of a horse could be cast over a wooden horse. It would stamp, nicker, and smell like a horse, but could not be ridden! Concentration is not required to maintain the illusion.",1 minute,"1 for an object small enough to be hand-held, or 2 for larger objects.",Half,,Simple Illusion,Hard,Illusion and Creation,"For 200 times the base cost, the spell can be made permanent; it will not be disbelieved!"
Illusion Disguise,Regular,"This illusion disguises a living being. The caster must first create the illusion (using any basic Illusion spell). The Illusion Disguise spell then superimposes the illusion over the subject, so it covers him and moves with him. The better the Illusion spell used, the better and more permanent the disguise; a Perfect Illusion Disguise even fools the sense of touch.

Concentration is not required to maintain the disguise. The illusion disguise counts as only a single spell “on.”",Until the illusion ends.,3`,,,Simple Illusion,Hard,Illusion and Creation,"Jewelry or clothing; the item casts an Illusion Disguise (specified when the item is enchanted) over the wearer.
Energy cost to create: 150 Simple, 300 Complex, 500 Perfect Illusion. There is no energy cost to the wearer!"
Independance,Area,"This spell can be used with any controlled creation or illusion. It lets the caster “program” the creation or illusion to move about, speak (if it can make sounds), and even react in predetermined ways. All this is done with no further concentration on the caster’s part; it does not count as a separate spell “on.” If faced with something for which it is not “programmed,” it may do nothing or (if an illusion) simply vanish, at the GM’s whim.",As long as the creation or illusion lasts.,2,,"As long as it takes the casting player to describe the instructions to the GM, or to read them aloud if they are in writing (writing them down will save arguments!). Complex instructions take a long time to cast.
Minimum 5 seconds.",Simple Illusion,Hard,Illusion and Creation,
Know Illusion,Information,"Tells whether the subject is either an illusion or creation, and if so, just what kind it is. The caster must be able to see the subject.",,2,,,Simple Illusion,Hard,Illusion and Creation,
Control Illusion,Regular; Resisted by subject spell.,"Take control of an illusion that someone else has cast. If your spell succeeds, you must pay any further energy costs to maintain the illusion.
If you fail, the illusion still belongs to the original caster. This spell does not affect an Illusion Disguise. If the spell is cast over something that is not an illusion, the energy cost is still spent but the spell has no effect.","Once established, control is permanent unless someone else takes control.",1,,2 seconds,Perfect Illusion,Hard,Illusion and Creation,"Wand or staff.
Energy cost to create: 300. The item must touch the illusion to be controlled."
Dispel Illusion,Regular; Resisted by subject spell.,Dispels any Illusion or Illusion Disguise. Does not affect creations.,,1,,,Control Illusion,Hard,Illusion and Creation,"Wand or staff; the item must touch the subject illusion.
Energy cost to create: 400."
Inscribe,Area; Resisted by Will,"Creates an inscription (either writing or images) on any surface.
Appropriate specializations of Artist (Calligraphy, Illumination, etc.) should be used to assess the aesthetics of the result. The image can be as stylish as the caster desires: letters of silver flame, simple block-lettering, reflected light on the surface of water, and so on. The inscription is integral to the subject’s surface, fading only when the spell is canceled or expires. Any living things to be inscribed get to resist.",1 minute,1. Minimum 2.,Same,,Simple Illusion and Copy,Hard,"Illusion and Creation, Making and Breaking","(a) Any inscription can be made permanent for 20 times the cost to cast the spell.

(b) A stylus, brush, etc. that can leave inscriptions on anything, without ever needing ink or paint.
Energy cost to create: 30."
Phantom,Area,"Like Perfect Illusion, but a phantom can impede movement and inflict real damage. The first time any living creature physically contacts a phantom, roll a Quick Contest between the caster’s effective skill and the being’s IQ. If the caster loses, then the phantom is treated as a Perfect Illusion for all purposes with regards to that character.

If the caster wins, the phantom has substance and may proceed to strike, grapple, shove, and so on as if it were real. A phantom may have any ST and DX up to the mage’s skill with the spell for the purposes of contests, damage inflicted, and so on.

When the spell is first cast, the GM should note the margin of success. If a single attack on the phantom inflicts this amount (or more) of basic damage, the phantom is immediately dispelled. Any spells that work on illusions (Dispel Illusion, Control Illusion, Independence, etc.) work on phantoms.",1 minute,"5. For a base cost of 9, the phantom can have twice the normal ST (DX is unchanged).",Half,,"Magery 2, Perfect Illusion, Hinder, and Apportation.",Hard,Illusion and Creation,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 300; half cost for an item that will create a single, creator-determined phantom."
Initiative,Area,"This spell can be cast on any creation or illusion the caster controls, giving it a semblance of intelligence in order to act on its own initiative. The subject is totally loyal to the caster, and obeys him (or anyone else the caster orders it to heed) to the best of its ability.

The base cost of the spell is based on what knowledge the caster grants the subject. Creations start with their own DX and IQ as listed in the spell description. For the purposes of this spell, Illusions and Phantoms start with IQ 0 and DX 8. The subject’s DX and IQ may be raised as high as the caster’s. The subject may also be given the caster’s skills – every skill granted is known at the same relative level as the caster. Illusions and creations with Initiative may use defaults on any skill.

Once the spell is cast, the subject acts on its own until the spell expires.
If the subject comes across a situation that confuses it, it attempts to return to the caster for clarification. Like Independence (p. 96), this spell does not count as a spell “on,” and does not require separate maintenance.

Example: Lady Ann Goulding has created a magical servant to amuse her noble and decadent guests. She wishes it to circulate throughout the party, serving food, dancing with the noblewomen, and showing appropriate respect – without requiring constant supervision, so that she can enjoy herself. It begins with 9 in every attribute, but no skills (Lady Ann could have created a skilled servitor, but she has Create Servant-15 and can maintain an unskilled one indefinitely). To this base she adds 2 points of DX (bringing it up to her own DX of 11), and 2 points of IQ (well below her own IQ of 14) to make it wittier. This is a total attribute increase of 4, for a base cost of 2.

Lady Ann then gives it two skills – Dancing and Savoir-Faire. She has Dancing-14 (DX+3), and since the servant has the same DX as she does, the servant will, too. The lady’s knowledge of Savoir-Faire is considerable (skill 15, or IQ+1), but the servant is not as smart as she, and will only have it at its own IQ+1, for a net Savoir-Faire-13. These two skills add 2 more to the base cost, for a total of 4. Since the servant is less than 1 yard in radius, a casting at base cost will suffice.",As long as the subject lasts.,"1/3 per point of DX or IQ increase (round up), plus 1 per skill; minimum base cost of 3.",,10 seconds,Independance and Wisdom.,Hard,Illusion and Creation,
Create Object,Regular,"Create any sort of simple artifact with which the caster is familiar – e.g., a robe, a sword, a cup. It cannot create a magical item or a living creature.

Limitations: Food created this way will seem nourishing, but in fact is not. Information cannot be created; a book could not be created unless the caster knew all its contents by heart. A work of art will be only as good as the caster could make it by hand. A mechanical device cannot be created unless the caster could build it himself. (GMs – the intent of this rule is to make it almost impossible for mages to create cars, transistor radios, etc. Be strict.)","The created object lasts indefinitely – as long as it is touching a living, thinking being. Thus, a wizard can create a sword, and use it himself or give it to a friend – but if he creates a coin to cheat a merchant, it will vanish if the merchant drops it on the counter or tosses it in the air! A created item does not actually have to touch flesh, but it must be very close to someone. It could be held in a gloved hand, carried in a pocket, etc., but not stored in a backpack.",2 for every 5 pounds the created item weighs.,,"Equal to cost, in seconds.","Magery 2, Create Earth, and Perfect Illusion.",Very Hard,Illusion and Creation,
Duplicate,Regular,"Like Create Object, but instead of creating an object from the caster’s mind, the Duplicate spell duplicates an actual item, which must be held or touched by the caster while the spell is cast. This permits a mage with no knowledge of Armoury to create a gun – if he has another one handy to copy.

It also permits perfect forgeries of works of art, money, documents, and so on. The magical duplicate follows all normal rules for items made with Create Object – it must remain in contact with a living thing, for instance, or it will disappear.

The mage may also attempt to alter the creation. For instance, he could copy a sword and add inscribed runes, or forge a passport with a different name or picture, etc. In this case, normal rules for the caster’s abilities apply; Forgery skill rolls may be required. A mage with no knowledge of guns could gold-plate a duplicate, but he couldn’t modify the firing mechanism or ammunition capacity.

Food created this way will seem nourishing, but in fact is not.","The duplicated object lasts indefinitely – as long as it is touching a living, thinking being. Thus, a wizard can create a sword, and use it himself or give it to a friend – but if he creates a coin to cheat a merchant, it will vanish if the merchant drops it on the counter or tosses it in the air! A duplicated item does not actually have to touch flesh, but it must be very close to someone. It could be held in a gloved hand, carried in a pocket, etc., but not stored in a backpack.",3 for every 5 pounds that the created object weighs.,,"Equal to cost, in seconds.",Create Object and Copy.,Very Hard,Illusion and Creation,"a) Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 650.

(b) A duplicate may be made permanent for 100 times casting cost."
Creat Servant,Regular,"Creates a stupid but obedient servitor (all attributes equal to 9) to do the caster’s bidding. The caster determines the servant’s appearance. This same spell can also create a Brute – a servant with ST of 16, and all other attributes at 9. Or it can create a servant with attributes at 9 and one non-combat non-IQ-based skill at level 16. Any created servant follows simple spoken commands, delivers verbal messages, etc. It is under the GM’s control. It cannot fight or handle confusing situations; it has no skills.
Faced with danger, it whimpers, flees, or simply vanishes. If questioned, it knows only who its master is and what its orders are.",1 minute,"3. For a skilled servitor, 4",1. For a skilled servitor 2.,3 seconds,"Magery 3, IQ 12 or higher, and Create Object.",Hard,Illusion and Creation,
Create Warrior,Regular,"Creates a warrior to fight as the caster commands. He has IQ 10; ST, DX, and HT 12; and skill 16 with any single weapon (or unarmed combat ability) the caster desires. He has no weapons or armor when created, but uses what he is given.",1 minute,"4. For a Brute Warrior (ST of 16), 6.",Same,4 seconds,Create Servant,Hard,Illusion and Creation,
